location,total_stops,avg_dwell_hours,median_dwell_hours,pct_delayed,currently_stuck,category
TALGRAM,1,472.2,472.1988888888889,100.0,0,Ignore
"Katra, Katra, JAMMU AND KASHMIR",1,449.9,449.8852777777778,100.0,0,Ignore
RAYADURG,1,428.6,428.6166666666667,100.0,0,Ignore
NARWANA,1,420.8,420.78333333333336,100.0,0,Ignore
PALLADAM,1,419.4,419.4166666666667,100.0,0,Ignore
"HYD/ATP, Hyderabad, TELANGANA",6,408.3,377.4994444444444,100.0,0,Prioritize for Clearing
"Balod, Balod, CHHATTISGARH",1,402.1,402.12888888888887,100.0,0,Ignore
"BOM/CHB-TML, Mumbai, MAHARASHTRA",1,401.0,401.0205555555556,100.0,0,Ignore
"Wazirpur, Wazirpur, RAJASTHAN",1,400.2,400.1719444444444,100.0,0,Ignore
"Bhaniawala, Doiwala, UTTARAKHAND",2,399.7,399.6618055555556,100.0,0,Ignore
"Nawa, Nawa RJ, RAJASTHAN",1,399.2,399.17944444444447,100.0,0,Ignore
EAST DELHI WAREHOUSE,2,399.0,399.04166666666663,100.0,0,Ignore
"CHERANALLUR, CHERANALLUR, KERALA",1,398.2,398.1763888888889,100.0,0,Ignore
"Banda, Banda, UTTAR PRADESH",1,398.1,398.1191666666667,100.0,0,Ignore
HOSKOTE PUD,1,397.6,397.6166666666667,100.0,0,Ignore
"Ajeetgarh, Ajeetgarh, RAJASTHAN",1,397.5,397.50333333333333,100.0,0,Ignore
KESHAVAPATNAM REACH,1,397.1,397.1333333333333,100.0,0,Ignore
"Keralassery, PALAKKAD, KERALA",1,397.1,397.0925,100.0,0,Ignore
"BATA/METIABRUZ-TML, BATANAGAR, WEST BENGAL",1,395.6,395.56583333333333,100.0,0,Ignore
"Dhari, Amreli, GUJARAT",1,395.3,395.34055555555557,100.0,0,Ignore
NAIDUPETA,3,393.5,392.9247222222222,100.0,0,Ignore
HIMATNAGAR,1,393.3,393.29527777777776,100.0,0,Ignore
"KATTAPANA1, Kattapana, KERALA",1,392.9,392.94083333333333,100.0,0,Ignore
ALATHUR,1,377.7,377.6666666666667,100.0,0,Ignore
"NARAYANPET, NARAYANPET, TELANGANA",1,376.7,376.6925,100.0,0,Ignore
"MARIPEDA BANGLA, MARIPEDA BANGLA, TELANGANA",1,376.6,376.6361111111111,100.0,0,Ignore
"Bhiloli, Bhiloli, MAHARASHTRA",1,376.5,376.52916666666664,100.0,0,Ignore
"Kondotty, Kondotty, KERALA",1,374.6,374.59472222222223,100.0,0,Ignore
"Mahe, Mahe, KERALA",1,373.9,373.8572222222222,100.0,0,Ignore
KAWANT,1,372.5,372.4772222222222,100.0,0,Ignore
Rasulaha,1,372.5,372.4947222222222,100.0,0,Ignore
KHAMBHAT,1,372.2,372.1666666666667,100.0,0,Ignore
AHWA,2,372.0,372.025,100.0,0,Ignore
"CJB/KNV-TML, Coimbatore, TAMIL NADU",1,371.8,371.78805555555556,100.0,0,Ignore
NATHDWARA,1,371.4,371.4166666666667,100.0,0,Ignore
Sullia,1,371.0,370.9947222222222,100.0,0,Ignore
CHOUTUPPAL,1,368.8,368.76,100.0,0,Ignore
South West Delhi,1,368.0,367.9788888888889,100.0,0,Ignore
"Songadh, SONGADH, GUJARAT",2,364.9,364.8569444444445,100.0,0,Ignore
BELUR,2,362.3,362.31666666666666,100.0,0,Ignore
"Samba, Samba, JAMMU AND KASHMIR",2,358.2,358.21305555555557,100.0,0,Ignore
"Malad East, Mumbai, MAHARASHTRA",3,358.2,351.7338888888889,100.0,0,Ignore
"Hupari, Hupari, MAHARASHTRA",1,355.6,355.5675,100.0,0,Ignore
"Chibramau, Chibramau, UTTAR PRADESH",1,354.9,354.94972222222225,100.0,0,Ignore
"JAJ/GBR-TML, jajpur road, ORISSA",1,354.3,354.2602777777778,100.0,0,Ignore
"Nandikotkur, NANDIKOTKUR, ANDHRA PRADESH",1,353.9,353.9166666666667,100.0,0,Ignore
TIPTUR,1,353.5,353.53333333333336,100.0,0,Ignore
"PATANCHERU, Patancheru, TELANGANA",1,353.5,353.4633333333333,100.0,0,Ignore
"Chandrapur, Chandrapur, MAHARASHTRA",1,353.4,353.3713888888889,100.0,0,Ignore
MUVATTUPUZHA,1,353.1,353.1,100.0,0,Ignore
DHORAJI,1,353.0,353,100.0,0,Ignore
CHHINDWARA,1,352.9,352.91805555555555,100.0,0,Ignore
"Tikamgarh, Tikamgarh, MADHYA PRADESH",1,352.8,352.77777777777777,100.0,0,Ignore
YESWANTHPUR INHOUSE CPU,1,352.6,352.6333333333333,100.0,0,Ignore
JHAGADIA,1,352.5,352.46666666666664,100.0,0,Ignore
KARAULI,2,352.4,352.4,100.0,0,Ignore
"Shrirampur, Shrirampur, MAHARASHTRA",1,352.4,352.4475,100.0,0,Ignore
RAJUPALEM REACH,2,352.3,352.3333333333333,100.0,0,Ignore
"Padra, VADODARA, GUJARAT",1,352.1,352.085,100.0,0,Ignore
"Jayal, Jayal, RAJASTHAN",1,351.9,351.89944444444444,100.0,0,Ignore
"Kodad, Kodad, TELANGANA",1,351.9,351.8927777777778,100.0,0,Ignore
"NBM/PNV, Navi Mumbai, MAHARASHTRA",2,351.9,351.9248611111111,100.0,0,Ignore
"RSC/PUTHUPPALLY, Kottayam, KERALA",1,351.7,351.7416666666667,100.0,0,Ignore
"Chhatral, Kalol, GUJARAT",1,351.7,351.7275,100.0,0,Ignore
HALVAD,1,351.6,351.6166666666667,100.0,0,Ignore
"Udumalpet, Udumalpet, TAMIL NADU",1,351.6,351.5780555555556,100.0,0,Ignore
"Arjunwad, Arjunwad, MAHARASHTRA",1,351.5,351.4563888888889,100.0,0,Ignore
KANJIRAPALLY,1,351.5,351.46666666666664,100.0,0,Ignore
KHARAR,2,351.4,351.3666666666667,100.0,0,Ignore
"VAKATHANAM, Kottayam, KERALA",1,351.3,351.3177777777778,100.0,0,Ignore
SHIRWAL,1,350.6,350.56666666666666,100.0,0,Ignore
"Bathindi, Bathindi, JAMMU AND KASHMIR",2,350.4,350.3761111111111,100.0,0,Ignore
BASAVKALYAN REACH,1,350.4,350.4166666666667,100.0,0,Ignore
"KKOTAPADU, K KOTAPADU, ANDHRA PRADESH",1,350.2,350.20194444444445,100.0,0,Ignore
PRAKASAM,1,350.1,350.1436111111111,100.0,0,Ignore
"Warangal, Warangal, TELANGANA",1,350.0,349.985,100.0,0,Ignore
"Nanded MIDC, Nanded, MAHARASHTRA",1,349.6,349.5858333333333,100.0,0,Ignore
"Chirgaon, Chirgaon, UTTAR PRADESH",1,349.0,349.04305555555555,100.0,0,Ignore
"Kulasekaram, Kulasekaram, TAMIL NADU",1,348.7,348.7138888888889,100.0,0,Ignore
"Adilabad, Adilabad, TELANGANA",1,348.6,348.58944444444444,100.0,0,Ignore
DHUBRI,1,348.4,348.3666666666667,100.0,0,Ignore
"BLR/BMN-TML, BANGALORE, KARNATAKA",1,348.4,348.4261111111111,100.0,0,Ignore
"Jaithra, Jaithra, UTTAR PRADESH",1,347.4,347.40277777777777,100.0,0,Ignore
"Pithora, PITHORA, CHHATTISGARH",1,347.2,347.2236111111111,100.0,0,Ignore
PALLIPAT,1,346.7,346.7113888888889,100.0,0,Ignore
NALLASOPARA,1,344.7,344.7475,100.0,0,Ignore
MACHERLA,1,344.6,344.5997222222222,100.0,0,Ignore
GOMATI NAGAR LUCKNOW (GOMN),1,343.1,343.1327777777778,100.0,0,Ignore
"Sultanpur Rj, Sultanpur RJ, RAJASTHAN",2,342.6,342.57194444444445,100.0,0,Ignore
GANDEVI,1,340.8,340.7938888888889,100.0,0,Ignore
"Miraj, Miraj, MAHARASHTRA",3,339.7,349.87416666666667,100.0,0,Ignore
"Kanhan, Kanhan MH, MAHARASHTRA",2,337.3,337.25152777777777,100.0,0,Ignore
"Mangalvedha, Mangalvedha, MAHARASHTRA",9,335.9,345.92027777777776,100.0,0,Prioritize for Clearing
"Sahpura, Sahpura, RAJASTHAN",3,331.9,345.2577777777778,100.0,0,Ignore
"Dhenkanal, DHENKANAL, ORISSA",1,331.8,331.81333333333333,100.0,0,Ignore
"PALANI/LPM1-TML, Palani, TAMIL NADU",1,330.0,330.01694444444445,100.0,0,Ignore
"Gondal, Gondal, GUJARAT",1,329.6,329.5877777777778,100.0,0,Ignore
"Kondagaon, Kondagaon, CHHATTISGARH",2,329.4,329.3729166666667,100.0,0,Ignore
NAVAL ARMAMENT DEPOT,1,329.3,329.31666666666666,100.0,0,Ignore
"Nokha1, Nokha, RAJASTHAN",2,329.2,329.1927777777778,100.0,0,Ignore
"Wai1, Wai, MAHARASHTRA",3,329.2,351.95944444444444,100.0,0,Ignore
"Ghazipur, Ghazipur, UTTAR PRADESH",1,328.9,328.8727777777778,100.0,0,Ignore
